de-be,Berlin,city,de,🇩🇪,4,185,49324,1,97,31.5,.938,95,80.5,5.2,18,99,,4.8,7.5,12.5,8.2,25,5,18.5,13.2,35.0
de-hh,Hamburg,city,de,🇩🇪,2,145,76842,1,100,29.5,.955,96,80.8,8.8,12,99,,4.5,7.2,12.2,12.5,68,8,12.8,11.5,8.0
de-he,Hesse,state,de,🇩🇪,6,345,54482,21,68,30.2,.948,94,81.0,7.5,28,99,,4.2,7.5,12.8,15.2,95,15,42.3,10.8,28.0
de-ni,Lower Saxony,state,de,🇩🇪,8,345,42818,48,72,28.8,.930,92,80.2,8.5,35,99,,3.8,7.8,12.5,18.5,88,8,24.8,10.2,42.0
de-sn,Saxony,state,de,🇩🇪,4,170,41168,18,68,27.8,.918,91,80.0,6.8,22,99,,4.0,6.8,11.8,18.8,42,6,28.8,12.2,32.0
de-sh,Schleswig-Holstein,state,de,🇩🇪,3,115,39182,16,70,28.2,.925,93,80.5,7.2,8,99,,3.5,6.5,11.5,11.2,25,3,11.5,9.8,58.0
de-rp,Rhineland-Palatinate,state,de,🇩🇪,4,165,39742,20,68,27.5,.928,92,80.4,6.8,18,99,,3.8,7.2,11.8,22.8,55,5,42.3,9.5,25.0
de-th,Thuringia,state,de,🇩🇪,2,75,35321,16,64,26.8,.912,90,79.8,5.8,12,99,,3.8,6.5,11.2,20.5,18,2,33.5,11.2,38.0
de-bb,Brandenburg,state,de,🇩🇪,3,90,36542,30,60,28.2,.915,91,80.0,12.5,8,99,,2.8,6.2,11.0,12.8,12,3,37.2,12.5,55.0
de-mv,Mecklenburg-Vorpommern,state,de,🇩🇪,2,55,32895,23,55,29.5,.908,89,79.5,5.5,5,99,,2.5,6.0,10.8,8.5,8,2,24.5,9.2,65.0
de-sl,Saarland,state,de,🇩🇪,1,42,40258,3,70,29.8,.920,91,79.8,10.8,5,99,,3.8,7.5,11.5,22.5,12,3,34.2,12.8,18.0
de-st,Saxony-Anhalt,state,de,🇩🇪,2,72,32785,20,58,27.2,.905,88,79.2,8.5,8,99,,3.5,6.0,10.5,15.8,12,2,25.5,11.5,52.0
