cn-sz,Shenzhen,city,cn,🇨🇳,18,520,29012,2,100,37.8,.882,95,81.5,8.2,15,99,,3.5,4.2,7.5,38.5,285,18,39.5,22.5,8.0,5.8,2.5,5.5,,8667,33.5,8.8,2.2
cn-gz2,Guangzhou,city,cn,🇨🇳,19,460,24211,7,86,35.5,.868,90,81.2,6.8,82,99,,3.2,4.5,7.2,28.5,95,12,43.5,28.5,10.0,4.5,2.8,3.2,,2714,33.2,9.5,4.5
cn-su,Suzhou,city,cn,🇨🇳,13,370,28462,8,80,32.5,.858,85,82.0,9.5,28,99,,3.0,4.2,6.5,42.5,185,15,32.5,38.2,12.0,3.2,1.5,3.5,,1531,40.5,7.2,5.5
cn-cd,Chengdu,city,cn,🇨🇳,21,310,14762,14,79,33.8,.842,82,80.5,5.5,58,98,,3.5,7.5,6.2,22.5,48,8,39.8,32.5,18.0,4.8,2.2,2.8,,1500,37.5,8.5,5.8
cn-hz,Hangzhou,city,cn,🇨🇳,12,285,23750,17,83,34.2,.862,88,82.5,6.2,42,99,,3.8,5.5,6.8,25.8,62,12,66.8,25.5,15.0,3.5,1.8,3.5,,706,38.5,7.8,5.2
cn-wh,Wuhan,city,cn,🇨🇳,14,290,20714,9,84,34.5,.852,82,80.8,7.5,82,98,,3.8,6.8,6.5,28.5,45,8,42.5,42.2,15.0,4.2,2.0,2.8,,1556,38.2,8.5,5.5
cn-nj,Nanjing,city,cn,🇨🇳,9,265,29444,7,87,33.5,.872,86,82.8,6.8,52,99,,4.2,6.2,6.8,28.2,52,8,31.5,35.2,12.0,3.8,2.2,3.2,,1286,38.8,7.5,5.8
cn-nb,Ningbo,city,cn,🇨🇳,10,240,24000,10,78,32.8,.848,82,81.5,9.8,18,98,,2.8,4.5,6.2,38.5,125,8,48.5,28.5,12.0,3.2,1.5,2.8,,1000,39.5,7.2,5.5
cn-qd,Qingdao,city,cn,🇨🇳,10,230,23000,12,77,32.5,.842,80,81.0,8.2,28,98,,3.2,5.5,6.5,32.5,68,5,25.5,35.8,15.0,3.5,1.8,2.5,,833,39.2,8.2,6.2
cn-wx,Wuxi,city,cn,🇨🇳,7,225,32143,5,82,31.8,.855,84,82.2,10.5,15,99,,3.0,4.2,6.2,42.8,85,8,26.8,38.5,12.0,2.8,1.2,3.2,,1400,42.2,6.5,6.5
cn-cs,Changsha,city,cn,🇨🇳,10,210,21000,12,82,33.5,.845,80,80.5,6.5,58,97,,3.2,6.2,6.2,28.5,35,8,55.2,32.5,22.0,3.5,1.8,2.5,,833,36.8,9.2,5.2
cn-zz,Zhengzhou,city,cn,🇨🇳,13,205,15769,7,79,33.2,.825,76,78.8,6.8,62,96,,2.8,5.8,5.8,28.5,32,8,28.5,48.5,12.0,4.5,2.0,2.2,,1857,35.5,10.2,5.8
cn-fz,Fuzhou,city,cn,🇨🇳,8,185,23125,12,72,32.2,.832,78,79.5,6.5,28,96,,2.5,4.5,5.8,28.5,42,5,65.2,22.5,35.0,3.5,1.8,2.0,,667,37.5,9.5,5.8
cn-jn,Jinan,city,cn,🇨🇳,9,180,20000,10,75,32.8,.835,78,79.8,7.5,48,97,,3.2,5.8,6.0,25.8,28,5,22.5,42.5,12.0,3.8,2.0,2.5,,900,38.5,8.8,6.2
cn-hf,Hefei,city,cn,🇨🇳,10,175,17500,11,82,32.5,.828,76,79.2,5.8,52,96,,2.5,4.8,5.5,32.5,38,8,28.5,35.8,12.0,4.2,2.0,2.8,,909,36.5,9.2,5.5
cn-nt,Nantong,city,cn,🇨🇳,8,165,20625,8,71,31.2,.835,78,80.5,8.5,12,98,,2.5,4.2,5.8,38.2,55,5,18.5,32.5,12.0,3.2,1.5,2.5,,1000,42.5,6.2,7.8
cn-dl,Dalian,city,cn,🇨🇳,7,155,22143,13,72,32.8,.845,80,80.8,8.8,28,98,,3.0,5.5,6.2,28.5,42,5,42.5,32.5,15.0,3.8,2.0,2.8,,538,40.5,6.8,7.2
cn-xm,Xiamen,city,cn,🇨🇳,5,125,25000,2,90,33.5,.865,86,81.5,5.8,18,99,,3.5,4.2,6.5,28.5,38,8,43.2,22.5,18.0,3.2,1.5,2.8,,2941,36.5,9.8,4.5
cn-dg,Dongguan,city,cn,🇨🇳,10,175,17500,2,92,36.2,.822,82,79.5,8.5,8,96,,1.8,2.8,5.5,52.5,155,12,45.5,32.5,8.0,2.5,1.5,2.2,,4167,33.5,12.5,2.5
cn-yc,Yancheng,city,cn,🇨🇳,7,110,15714,17,65,30.8,.798,72,78.5,6.5,8,96,,2.2,4.5,5.2,28.5,15,2,8.5,38.5,18.0,3.5,1.2,1.8,,412,40.5,7.5,7.5
cn-wz,Wenzhou,city,cn,🇨🇳,10,120,12000,12,71,34.8,.818,76,79.8,5.2,12,96,,2.5,4.2,5.5,35.8,28,3,68.5,25.5,15.0,3.2,1.5,2.0,,833,38.2,8.5,5.8
cn-km,Kunming,city,cn,🇨🇳,9,115,12778,21,73,33.5,.802,72,77.8,5.2,32,94,,2.8,5.8,5.5,18.5,12,3,52.5,22.5,65.0,4.5,2.0,1.8,,429,35.2,10.5,5.5
cn-cc,Changchun,city,cn,🇨🇳,9,105,11667,25,65,31.5,.792,75,78.2,7.2,42,97,,3.0,5.8,5.5,32.5,18,2,44.5,28.5,12.0,4.2,1.5,1.8,,360,41.5,6.2,7.8
cn-sy,Shenyang,city,cn,🇨🇳,9,115,12778,13,82,32.5,.808,78,79.5,8.5,48,98,,3.2,6.5,6.2,22.8,25,3,35.5,35.2,15.0,4.8,2.0,2.2,,692,42.5,6.5,8.2
cn-nc,Nanchang,city,cn,🇨🇳,6,105,17500,7,76,31.5,.798,72,78.2,5.5,32,95,,2.5,5.2,5.5,28.5,18,3,63.5,28.5,22.0,3.8,1.8,2.0,,857,35.5,10.2,5.5
cn-sjz,Shijiazhuang,city,cn,🇨🇳,11,105,9545,14,65,31.8,.782,72,77.5,9.2,32,96,,2.5,5.2,5.2,28.5,15,2,32.5,55.2,8.0,4.2,1.5,1.8,,786,38.5,9.5,6.5
cn-ty,Taiyuan,city,cn,🇨🇳,5,75,15000,7,85,31.2,.795,75,77.5,12.5,28,97,,3.2,5.8,5.8,18.5,8,1,22.5,42.5,12.0,3.8,1.5,1.5,,714,39.2,8.8,6.5
cn-nn,Nanning,city,cn,🇨🇳,9,85,9444,22,52,32.5,.762,68,77.8,4.5,28,94,,2.2,5.0,5.0,18.5,12,2,55.5,28.5,42.0,4.5,1.5,1.2,,409,34.5,11.2,5.8
cn-gy,Guiyang,city,cn,🇨🇳,6,72,12000,8,80,33.2,.778,72,76.8,5.5,22,94,,2.5,6.2,5.5,15.8,5,2,45.5,25.5,52.0,4.2,1.8,1.5,,750,34.2,11.8,5.5
cn-hhht,Hohhot,city,cn,🇨🇳,4,55,13750,17,72,30.5,.785,75,76.5,12.8,18,95,,3.2,5.8,5.8,15.8,5,1,22.5,28.5,28.0,3.5,1.2,1.2,,235,37.5,9.2,5.5
cn-lz,Lanzhou,city,cn,🇨🇳,4,48,12000,13,82,31.5,.778,70,76.2,6.8,22,93,,2.8,5.5,5.5,15.2,3,0,15.5,42.5,38.0,3.8,1.2,1.2,,308,36.2,9.8,6.2
cn-hk2,Haikou,city,cn,🇨🇳,3,35,11667,2,72,33.2,.782,75,79.8,4.5,8,96,,2.5,4.5,5.5,8.5,5,8,55.5,18.5,35.0,3.8,1.5,1.0,,1500,35.2,11.2,5.2
