cn-tz,Taizhou Zhejiang,city,cn,🇨🇳,7,82,11714,10,65,33.8,.808,76,80.0,5.8,5,96,,2.2,4.0,5.5,32.5,22,2,55.5,25.5,15.0,3.0,1.2,1.8,,700,39.2,8.2,6.2
cn-ls2,Lishui,city,cn,🇨🇳,3,25,8333,17,58,32.2,.792,72,79.8,3.5,2,95,,2.0,4.0,5.2,18.5,5,1,81.5,18.5,65.0,3.2,1.0,1.2,,176,38.8,8.5,6.8
cn-hz2,Huzhou,city,cn,🇨🇳,3,55,18333,6,68,31.8,.832,80,80.8,6.8,3,98,,2.5,4.2,5.8,35.5,18,2,52.5,25.5,15.0,2.8,1.2,2.5,,500,40.2,7.5,6.2
cn-zz3,Zhangzhou,city,cn,🇨🇳,5,68,13600,13,60,32.5,.798,72,79.2,5.5,3,95,,2.0,3.8,5.2,28.5,15,2,62.5,22.5,28.0,3.2,1.2,1.5,,385,36.5,10.5,5.8
cn-lz2,Liuzhou,city,cn,🇨🇳,4,52,13000,19,54,32.8,.778,68,77.5,7.5,8,94,,2.2,4.8,5.0,32.5,12,1,55.5,28.5,42.0,4.0,1.2,1.2,,211,35.2,10.8,6.0
cn-gl,Guilin,city,cn,🇨🇳,5,38,7600,28,50,32.5,.768,65,77.8,3.8,8,94,,2.2,5.0,4.8,12.5,5,1,68.5,25.5,48.0,4.2,1.2,1.0,,179,36.5,10.2,6.5
cn-wh2,Wuhu,city,cn,🇨🇳,4,65,16250,6,72,31.5,.818,76,79.5,7.2,8,96,,2.5,4.5,5.5,35.8,25,3,32.5,35.5,15.0,3.5,1.5,2.2,,667,38.5,8.5,6.2
cn-bb,Bengbu,city,cn,🇨🇳,3,35,11667,6,60,31.2,.785,70,78.0,5.8,8,95,,2.2,4.5,5.0,22.5,8,1,18.5,38.5,12.0,4.0,1.2,1.5,,500,37.2,10.2,6.8
cn-aq,Anqing,city,cn,🇨🇳,4,35,8750,15,52,31.0,.778,68,77.8,4.5,5,94,,2.0,4.2,4.8,18.5,5,1,42.5,35.5,15.0,4.2,1.0,1.2,,267,39.2,8.8,7.5
cn-yb,Yibin,city,cn,🇨🇳,5,52,10400,13,50,33.8,.778,68,77.5,4.5,5,93,,2.2,5.8,5.0,22.5,8,1,52.5,35.5,52.0,4.0,1.2,1.5,,385,36.8,9.5,6.5
