in-dl,Delhi,city,in,🇮🇳,32,150,4705,1,97,37.5,.746,69,73.8,2.5,28,87,,1.2,1.2,4.0,5.8,8,6,12.5,175.5,12.0,7.2,5.8,0.8,1.5,11874,29.2,18.5,5.2
in-up,Uttar Pradesh,state,in,🇮🇳,235,310,1317,241,22,33.2,.596,28,66.8,0.8,82,73,,0.4,0.5,2.5,11.2,12,2,6.5,58.5,8.0,5.8,5.2,0.3,0.8,976,23.8,24.2,6.8
in-rj,Rajasthan,state,in,🇮🇳,81,180,2223,342,25,34.5,.629,38,68.5,1.2,48,67,,0.5,0.5,2.8,10.8,8,2,8.2,48.2,15.0,5.2,4.5,0.4,1.2,237,24.5,23.5,6.2
in-gj,Gujarat,state,in,🇮🇳,71,280,3971,196,43,35.8,.672,42,71.2,2.0,65,79,,0.8,0.8,3.2,22.5,42,8,7.2,42.5,18.0,3.8,6.2,0.6,1.8,362,28.5,19.8,6.0
in-wb,West Bengal,state,in,🇮🇳,100,220,2190,89,32,33.5,.632,30,72.5,0.8,42,77,,0.8,0.8,3.5,14.5,15,3,18.5,55.2,8.0,6.5,5.5,0.3,0.5,1124,27.2,16.2,5.8
in-mp,Madhya Pradesh,state,in,🇮🇳,85,170,2005,308,29,33.8,.602,28,67.2,1.0,52,70,,0.5,0.5,2.5,8.5,8,2,25.5,48.5,12.0,5.5,4.8,0.3,1.0,276,23.5,23.8,6.8
in-tl,Telangana,state,in,🇮🇳,38,175,4612,112,39,33.2,.698,55,72.8,1.5,35,72,,1.5,1.5,3.8,15.5,22,6,25.5,32.5,22.0,4.2,6.5,0.8,1.5,339,29.8,16.5,6.2
in-ke,Kerala,state,in,🇮🇳,35,115,3286,39,48,32.2,.782,62,77.5,1.2,28,96,,1.8,2.5,4.2,12.8,18,2,55.2,22.5,32.0,12.5,4.5,0.5,0.8,897,33.5,14.2,7.0
in-ap,Andhra Pradesh,state,in,🇮🇳,53,165,3125,163,35,33.8,.650,42,70.5,1.2,42,68,,1.2,1.2,3.2,12.2,15,3,29.2,32.8,18.0,5.8,5.2,0.4,1.0,325,28.2,16.5,7.2
in-br,Bihar,state,in,🇮🇳,128,100,782,94,12,31.2,.542,18,69.5,0.3,28,62,,0.3,0.2,2.2,8.5,3,1,6.5,62.5,5.0,7.2,3.8,0.2,0.5,1362,21.5,25.8,5.8
in-pb,Punjab,state,in,🇮🇳,31,95,3065,50,38,31.5,.723,52,73.2,1.5,22,76,,0.9,1.0,3.5,15.8,5,1,6.0,52.5,38.0,8.2,5.8,0.5,1.2,620,30.5,15.8,6.8
in-hr,Haryana,state,in,🇮🇳,29,125,4310,44,35,35.8,.708,55,71.5,2.2,28,76,,0.9,1.0,3.2,18.5,8,3,6.5,55.5,18.0,8.8,6.2,0.6,1.5,659,27.5,20.2,6.2
in-or,Odisha,state,in,🇮🇳,46,85,1848,156,17,32.8,.606,28,69.8,0.8,28,73,,0.5,0.5,2.8,12.5,8,1,33.5,45.2,15.0,5.2,4.5,0.3,0.8,295,24.8,19.2,7.5
in-as,Assam,state,in,🇮🇳,36,60,1667,79,15,33.5,.585,22,68.2,0.5,18,73,,0.5,0.5,2.5,5.8,3,1,36.8,48.5,8.0,6.8,5.2,0.2,0.5,456,23.2,20.5,6.8
br-rj,Rio de Janeiro State,state,br,🇧🇷,17,310,18118,44,97,49.8,.798,82,76.5,2.8,42,97,,2.5,2.5,10.2,8.5,35,8,28.5,18.5,32.0,14.5,6.2,1.0,0.5,386,35.2,13.5,7.2
br-mg,Minas Gerais,state,br,🇧🇷,21,250,11842,587,88,44.5,.788,78,76.2,2.2,52,94,,2.2,2.0,9.8,14.2,42,5,54.5,12.8,42.0,11.2,5.5,0.8,0.5,36,34.5,14.2,6.8
br-rs,Rio Grande do Sul,state,br,🇧🇷,11,165,14682,282,86,46.2,.805,82,77.8,2.5,28,96,,2.5,2.2,10.5,18.5,22,3,49.5,10.2,52.0,8.5,5.8,0.8,0.5,39,35.8,13.2,7.5
br-pr,Paraná,state,br,🇧🇷,12,175,15042,200,88,44.2,.802,80,77.5,2.2,32,95,,2.2,2.0,10.2,16.8,28,4,49.8,12.5,48.0,8.2,5.5,0.8,0.5,60,34.2,14.5,6.8
br-ba,Bahia,state,br,🇧🇷,15,130,8542,565,74,50.5,.718,62,74.2,1.5,28,88,,1.5,1.5,7.8,10.5,12,2,60.5,15.2,35.0,16.5,6.8,0.5,0.4,26,31.2,16.2,6.2
br-sc,Santa Catarina,state,br,🇧🇷,8,135,17342,95,86,42.5,.818,84,78.8,2.0,28,97,,2.2,2.2,10.8,22.5,18,3,49.2,8.5,55.0,5.2,5.2,0.9,0.5,84,34.5,13.8,6.5
br-pe,Pernambuco,state,br,🇧🇷,10,82,8342,98,82,49.2,.728,65,74.8,1.5,22,88,,1.5,1.5,7.5,8.5,8,2,38.5,12.8,28.0,15.8,6.5,0.5,0.4,102,31.8,16.8,6.8
br-ce,Ceará,state,br,🇧🇷,9,68,7342,149,78,50.2,.712,62,74.5,1.2,22,86,,1.2,1.2,7.2,10.2,5,1,38.8,15.5,25.0,13.8,6.2,0.4,0.4,60,30.5,17.2,6.5
br-go,Goiás,state,br,🇧🇷,7,95,12842,340,74,44.8,.768,72,75.5,2.5,22,93,,1.8,2.0,8.5,14.5,18,3,28.5,8.2,42.0,8.5,5.8,0.7,0.5,21,32.2,15.5,6.2
br-pa,Pará,state,br,🇧🇷,9,65,7042,1248,68,48.5,.698,55,73.2,1.5,18,88,,1.0,1.2,6.8,8.5,5,1,55.5,15.2,48.0,10.5,5.8,0.3,0.4,7,28.5,19.5,5.8
br-am,Amazonas,state,br,🇧🇷,4,42,9842,1559,62,49.2,.698,55,73.5,1.8,12,85,,1.0,1.0,6.5,12.2,3,1,96.8,8.5,55.0,12.2,6.5,0.2,0.4,3,27.5,21.2,5.5
br-df,Federal District (Brasília),city,br,🇧🇷,3,85,28182,6,97,45.8,.852,88,78.5,2.2,28,97,,3.2,2.5,12.0,3.5,5,5,38.5,10.2,22.0,12.8,5.8,1.2,0.5,500,33.5,14.8,5.2
au-vc,Victoria,state,au,🇦🇺,7,480,70142,228,90,33.2,.948,96,83.2,12.5,12,99,,4.0,3.5,10.8,8.5,42,15,24.8,7.5,25.0,5.8,3.2,2.2,1.2,31,37.2,11.5,6.8
au-ql,Queensland,state,au,🇦🇺,5,380,70542,1853,88,34.5,.942,95,83.0,15.5,8,99,,3.5,3.5,10.5,6.2,85,12,12.5,6.8,18.0,5.2,3.5,2.0,1.2,3,36.8,12.2,6.5
au-wa,Western Australia,state,au,🇦🇺,3,320,118542,2530,88,33.8,.948,96,82.8,48.5,5,99,,3.2,3.2,10.2,8.5,185,15,7.8,5.2,12.0,4.8,3.2,2.5,1.2,1,36.5,12.5,6.2
